A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
2Shock,3Post,-0.53,0.01,-0.54,0.05,-10.43,0.0,-0.6,1962,0.54,0.0,True,hamilton_32,SR
2Shock,3Post,-0.16,-0.32,0.17,0.05,3.06,0.01,0.18,1963,-0.17,0.01,True,hamilton_32,SIR
2Shock,3Post,-0.32,0.64,-0.96,0.05,-18.54,0.0,-1.07,1966,0.96,0.0,True,hamilton_32,SR
2Shock,3Post,0.12,-0.04,0.17,0.06,2.9,0.01,0.17,1968,-0.17,0.01,True,hamilton_32,SR
2Shock,3Post,0.23,-0.39,0.62,0.06,11.11,0.0,0.64,1969,-0.62,0.0,True,hamilton_32,SR
2Shock,3Post,-0.08,-0.22,0.14,0.06,2.53,0.03,0.15,1970,-0.14,0.03,True,hamilton_32,SIR
2Shock,3Post,-0.1,-0.25,0.15,0.06,2.73,0.02,0.16,1973,-0.15,0.02,True,hamilton_32,SIR
2Shock,3Post,-0.73,0.74,-1.48,0.05,-31.99,0.0,-1.85,1974,1.48,0.0,True,hamilton_32,FF
2Shock,3Post,0.07,0.02,0.05,0.06,0.95,0.61,0.05,1975,-0.05,0.65,False,hamilton_32,SR
2Shock,3Post,0.98,-0.87,1.85,0.04,49.11,0.0,2.83,1978,-1.85,0.0,True,hamilton_32,SR
2Shock,3Post,0.65,-0.81,1.46,0.05,31.77,0.0,1.83,1980,-1.46,0.0,True,hamilton_32,SR
2Shock,3Post,1.06,-0.76,1.81,0.04,49.09,0.0,2.83,1982,-1.81,0.0,True,hamilton_32,SR
2Shock,3Post,0.83,-0.6,1.42,0.05,30.86,0.0,1.78,1983,-1.42,0.0,True,hamilton_32,SIR
2Shock,3Post,0.88,-0.88,1.76,0.04,43.83,0.0,2.53,1984,-1.76,0.0,True,hamilton_32,SR
2Shock,3Post,0.02,-0.01,0.03,0.06,0.6,0.82,0.03,1985,-0.03,0.84,False,hamilton_32,SR
2Shock,3Post,0.06,-0.19,0.25,0.06,4.33,0.0,0.25,1987,-0.25,0.0,True,hamilton_32,SIR
2Shock,3Post,0.73,-0.04,0.77,0.05,16.23,0.0,0.94,1988,-0.77,0.0,True,hamilton_32,SIR
2Shock,3Post,0.24,-0.35,0.6,0.06,10.67,0.0,0.62,1989,-0.6,0.0,True,hamilton_32,SIR
2Shock,3Post,0.97,-0.48,1.45,0.04,34.53,0.0,1.99,1990,-1.45,0.0,True,hamilton_32,SR
2Shock,3Post,-0.31,0.46,-0.76,0.05,-14.01,0.0,-0.81,1991,0.76,0.0,True,hamilton_32,SIR
2Shock,3Post,0.72,-0.84,1.57,0.04,35.46,0.0,2.05,1992,-1.57,0.0,True,hamilton_32,SR
2Shock,3Post,0.22,-0.07,0.3,0.06,5.21,0.0,0.3,1993,-0.3,0.0,True,hamilton_32,SR
2Shock,3Post,0.07,0.26,-0.18,0.06,-3.28,0.0,-0.19,1995,0.18,0.0,True,hamilton_32,SR
2Shock,3Post,0.86,-0.54,1.4,0.05,30.62,0.0,1.77,1997,-1.4,0.0,True,hamilton_32,SR
2Shock,3Post,-0.5,-0.44,-0.06,0.04,-1.39,0.34,-0.08,1998,0.06,0.38,False,hamilton_32,SR
2Shock,3Post,0.52,-0.61,1.13,0.05,22.07,0.0,1.27,1999,-1.13,0.0,True,hamilton_32,SR
2Shock,3Post,0.15,0.02,0.13,0.06,2.23,0.07,0.13,2000,-0.13,0.07,False,hamilton_32,SIR
2Shock,3Post,-0.17,-0.23,0.06,0.06,1.01,0.57,0.06,2001,-0.06,0.6,False,hamilton_32,SIR
2Shock,3Post,0.13,0.54,-0.41,0.05,-8.29,0.0,-0.48,2002,0.41,0.0,True,hamilton_32,FF
2Shock,3Post,0.37,0.34,0.04,0.05,0.74,0.74,0.04,2003,-0.04,0.77,False,hamilton_32,SR
