A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,0.27,0.27,-0.0,0.05,-0.03,1.0,-0.0,1669,0.0,1.0,False,hamilton_31,SIR
1Pre,2Shock,0.25,-0.62,0.87,0.05,16.86,0.0,0.97,1670,-0.87,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.17,0.34,-0.17,0.05,-3.2,0.0,-0.18,1671,0.17,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.54,-0.06,0.6,0.05,11.41,0.0,0.66,1675,-0.6,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.2,-0.46,0.67,0.05,12.24,0.0,0.71,1676,-0.67,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.27,-0.07,-0.2,0.06,-3.65,0.0,-0.21,1678,0.2,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.26,0.15,0.11,0.06,2.0,0.11,0.12,1679,-0.11,0.12,False,hamilton_31,SIR
1Pre,2Shock,0.47,0.39,0.08,0.05,1.74,0.19,0.1,1680,-0.08,0.21,False,hamilton_31,SR
1Pre,2Shock,0.33,-0.25,0.57,0.06,10.24,0.0,0.59,1681,-0.57,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.6,-0.04,0.64,0.05,12.58,0.0,0.73,1682,-0.64,0.0,True,hamilton_31,SR
1Pre,2Shock,0.01,0.35,-0.34,0.06,-6.18,0.0,-0.36,1683,0.34,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.3,0.65,-0.95,0.05,-18.53,0.0,-1.07,1684,0.95,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.08,0.48,-0.4,0.05,-7.6,0.0,-0.44,1685,0.4,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.32,0.42,-0.1,0.05,-2.0,0.11,-0.12,1686,0.1,0.12,False,hamilton_31,SIR
1Pre,2Shock,0.25,-0.3,0.55,0.06,9.74,0.0,0.56,1687,-0.55,0.0,True,hamilton_31,SIR
1Pre,2Shock,1.21,-0.43,1.63,0.03,56.46,0.0,3.26,1690,-1.63,0.0,True,hamilton_38,FF
1Pre,2Shock,0.99,-0.48,1.47,0.04,35.63,0.0,2.06,1691,-1.47,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.83,-0.53,1.36,0.05,29.28,0.0,1.69,1693,-1.36,0.0,True,hamilton_38,FF
1Pre,2Shock,0.02,0.52,-0.5,0.05,-9.71,0.0,-0.56,1695,0.5,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.61,0.11,0.5,0.05,10.42,0.0,0.6,1697,-0.5,0.0,True,hamilton_38,SR
1Pre,2Shock,1.04,-0.47,1.51,0.04,38.8,0.0,2.24,1698,-1.51,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.95,0.91,-1.86,0.04,-49.75,0.0,-2.87,1700,1.86,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.01,0.26,-0.27,0.06,-4.72,0.0,-0.27,1706,0.27,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.63,1.06,-1.69,0.04,-44.46,0.0,-2.57,1708,1.69,0.0,True,hamilton_38,SR
1Pre,2Shock,-0.3,0.93,-1.23,0.04,-28.91,0.0,-1.67,1709,1.23,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.84,-0.22,1.06,0.05,23.32,0.0,1.35,1712,-1.06,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.86,-0.39,1.25,0.05,27.38,0.0,1.58,1713,-1.25,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.72,-0.08,-0.64,0.05,-14.3,0.0,-0.82,1715,0.64,0.0,True,hamilton_38,SR
1Pre,2Shock,-0.61,0.8,-1.42,0.05,-30.41,0.0,-1.75,1720,1.42,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.3,-0.1,0.4,0.06,7.09,0.0,0.41,1721,-0.4,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.16,0.84,-1.0,0.04,-22.27,0.0,-1.29,1725,1.0,0.0,True,hamilton_38,SIR
1Pre,2Shock,1.13,-0.53,1.66,0.03,47.95,0.0,2.77,1726,-1.66,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.66,-0.14,0.8,0.05,15.87,0.0,0.92,1727,-0.8,0.0,True,hamilton_38,FF
1Pre,2Shock,-0.4,0.23,-0.62,0.06,-11.26,0.0,-0.65,1728,0.62,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.84,1.25,-2.08,0.03,-81.79,0.0,-4.72,1732,2.08,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.85,-0.41,1.25,0.05,27.1,0.0,1.56,1733,-1.25,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.64,1.14,-1.78,0.03,-52.74,0.0,-3.04,1735,1.78,0.0,True,hamilton_38,SIR
1Pre,2Shock,-0.71,1.08,-1.78,0.04,-48.79,0.0,-2.81,1736,1.78,0.0,True,hamilton_38,SIR
1Pre,2Shock,1.05,-0.44,1.49,0.04,38.83,0.0,2.24,1737,-1.49,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.99,-0.43,1.42,0.04,34.62,0.0,2.0,1739,-1.42,0.0,True,hamilton_38,SR
1Pre,2Shock,-0.64,0.35,-0.99,0.05,-19.35,0.0,-1.12,1741,0.99,0.0,True,hamilton_38,SR
1Pre,2Shock,-0.57,1.04,-1.61,0.04,-41.4,0.0,-2.39,1743,1.61,0.0,True,hamilton_38,FF
1Pre,2Shock,0.53,-0.19,0.72,0.05,13.39,0.0,0.77,1748,-0.72,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.2,0.27,-0.07,0.05,-1.24,0.43,-0.07,1749,0.07,0.45,False,hamilton_38,SIR
1Pre,2Shock,-0.6,0.29,-0.89,0.05,-17.04,0.0,-0.98,1751,0.89,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.91,-0.44,1.34,0.04,30.29,0.0,1.75,1752,-1.34,0.0,True,hamilton_38,SIR
1Pre,2Shock,0.98,-0.44,1.43,0.04,34.37,0.0,1.98,1754,-1.43,0.0,True,hamilton_38,SIR
1Pre,2Shock,1.07,-0.47,1.54,0.04,40.87,0.0,2.36,1755,-1.54,0.0,True,hamilton_38,SR
1Pre,2Shock,-0.08,0.99,-1.07,0.04,-29.51,0.0,-1.7,1760,1.07,0.0,True,hamilton_37,SR
1Pre,2Shock,0.32,-0.76,1.08,0.05,22.23,0.0,1.28,1767,-1.08,0.0,True,hamilton_37,SR
1Pre,2Shock,0.28,0.55,-0.28,0.05,-5.97,0.0,-0.34,1769,0.28,0.0,True,hamilton_37,SR
