neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
166,0.2098821300485364,0.1922541833914697,0.029089782365073744,ESHOCK_09_LOC1,True,SR,True
167,0.18390867047981566,0.17082223624561554,0.025597692115025383,ESHOCK_09_LOC1,True,SR,True
176,0.21335759930902604,0.22332454917007555,0.029209527020696048,ESHOCK_09_LOC1,True,FF,True
177,0.16225081160318403,0.18051677910321595,0.023323620753928416,ESHOCK_09_LOC1,True,SR,True
178,0.2445476459333896,0.20765169411804502,0.03329636442340999,ESHOCK_09_LOC1,True,SR,True
179,0.15829085752156924,0.18663586312055155,0.02292352942504202,ESHOCK_09_LOC1,True,SIR,True
180,0.1858447597838703,0.15741972606430185,0.026151154119300767,ESHOCK_09_LOC1,True,SIR,True
181,0.13806331958125284,0.15956411302510404,0.020507866722009493,ESHOCK_09_LOC1,True,FF,True
182,0.2367978080368934,0.20351787319983128,0.032199043700080865,ESHOCK_09_LOC1,True,FF,True
184,0.2743161557084808,0.19808699086052553,0.037001935498703134,ESHOCK_09_LOC1,True,SIR,True
185,0.19454211235638766,0.15857312572013976,0.027106378843358155,ESHOCK_09_LOC1,True,SR,True
1011,0.0782912994469308,0.19442391242597404,0.0641788227591856,hamilton_10,True,SR,False
1013,0.12107074293831666,0.13776162492794172,0.0889987115083315,hamilton_10,True,SR,False
1014,0.3818342663676228,0.14163395514365068,0.2583564699493419,hamilton_10,True,SIR,False
1015,0.14050796004529018,0.11422942622931458,0.10413736281397515,hamilton_10,True,SR,False
1016,0.17056839593326023,0.1754689095316866,0.12378646653318875,hamilton_10,True,SR,False
1018,0.25579764867215,0.09142100707880962,0.1798794806809707,hamilton_10,True,SR,False
1019,0.15409541671997018,0.19462149227717798,0.11152393587697662,hamilton_10,True,SIR,False
1020,0.08430130225033945,0.0,0.06913874987802984,hamilton_10,True,SIR,False
1021,0.04240744077495994,0.0,0.048092225418530234,hamilton_03,True,FF,False
1022,0.012920183486079229,0.0,0.025222815982506933,hamilton_03,True,SIR,False
1024,0.15997929617693563,0.45935486565460576,0.12246827042402386,hamilton_03,True,SR,False
1025,0.10227792619328434,0.0,0.08608673575158698,hamilton_03,True,SR,False
1026,0.04938011493061665,0.0,0.04918934672889424,hamilton_03,True,SR,False
1027,0.13934967263231263,0.2100135058606466,0.1108059998125604,hamilton_03,True,SR,False
1028,0.14236273059343962,0.0,0.12411458895111488,hamilton_03,True,SR,False
1029,0.2720516305928793,0.12467067989697955,0.2088365230520667,hamilton_03,True,FF,False
1030,0.28902959878953727,0.13780645969638172,0.22518349387871536,hamilton_03,True,SR,False
1031,0.05312542520220226,0.05831200648565197,0.0377778635792476,hamilton_04,True,FF,True
1032,0.04484695404484869,0.06988931003367145,0.03252778477200763,hamilton_04,True,SR,True
1034,0.11819719346359965,0.09505799812269612,0.07187828912541078,hamilton_04,True,SR,True
1035,0.15326995327461795,0.09060373021188266,0.09088742361511137,hamilton_04,True,SR,True
1036,0.06685130984841811,0.0,0.047641526542511456,hamilton_04,True,SIR,True
1037,0.1423074520665526,0.12372784648879792,0.0848941516464985,hamilton_04,True,SIR,True
1038,0.09564588761292332,0.19471679141160098,0.05847933410451678,hamilton_04,True,SR,True
1040,0.1096460306678945,0.11008385810993722,0.0663167359812353,hamilton_04,True,SIR,True
1041,0.16331814065823785,0.16213240679259633,0.0944131360650437,hamilton_04,True,SIR,True
1044,0.10953931953647794,0.06919437179595461,0.07145931340325667,hamilton_04,True,SIR,True
1045,0.05665890801721908,0.058365225106953245,0.039182525552134015,hamilton_04,True,SIR,True
1046,0.05414746165852082,0.04221980791149317,0.03925990834413421,hamilton_04,True,SR,True
1047,0.1024845121981804,0.14175423858683847,0.06421666687288628,hamilton_04,True,SR,True
1048,0.1031042081389999,0.12541186528684806,0.06169384622124688,hamilton_04,True,SIR,True
1049,0.1443914761965128,0.1442148178467228,0.08359280117923806,hamilton_04,True,SR,True
