neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1818,25.0,0.10040160642570281,0.2002898239480799,0.6793336539709578,41,326,20,1,hamilton_37,acute_sal,HAMILTON,0.5204128173225847,False,0.025133333333343444
1819,28.0,0.112,1.4470253856194155,0.8878649359516826,41,328,20,1,hamilton_37,acute_sal,HAMILTON,0.7444629756520945,True,0.026633333333165865
1820,37.0,0.14624505928853754,1.2085981842346465,0.4117989861508903,41,330,4,1,hamilton_37,acute_sal,HAMILTON,0.40950208097815377,False,0.029216666666684432
1821,24.0,0.0967741935483871,1.5326287076355811,0.7738150181185478,41,332,17,1,hamilton_37,acute_sal,HAMILTON,0.6802526750767255,False,0.0289666666666335
1822,43.0,0.15867158671586715,1.2955733543600456,0.6109020926488969,41,334,10,1,hamilton_37,acute_sal,HAMILTON,0.5407078886586799,False,0.024866666666696347
1823,127.0,0.5545851528384279,1.0692184163365306,0.460849860564097,41,336,14,1,hamilton_37,acute_sal,HAMILTON,0.4443938780853885,False,0.013033333333282826
1824,126.0,0.5431034482758621,0.9756583752868111,0.4983038436414014,41,338,10,1,hamilton_37,acute_sal,HAMILTON,0.49678204796866354,False,0.010366666666683955
1825,58.0,0.2116788321167883,1.4376968184766283,0.5236311380248739,41,340,12,1,hamilton_37,acute_sal,HAMILTON,0.4593744197350677,False,0.02413333333333867
1826,58.0,0.20422535211267606,0.24967635588048315,0.6091221764471424,41,342,31,1,hamilton_37,acute_sal,HAMILTON,0.601241648019648,False,0.03573333333335427
1827,57.0,0.2602739726027397,0.2310192215949086,1.0097555672285423,41,346,32,1,hamilton_37,acute_sal,HAMILTON,0.919086859782903,False,0.02633333333324117
1828,53.0,0.20784313725490197,0.16626799083909097,1.038612637473081,41,348,16,1,hamilton_37,acute_sal,HAMILTON,0.9580615393109765,False,0.027050000000031105
1829,46.0,0.17037037037037037,0.1824557985280454,1.0201610748332612,41,354,26,1,hamilton_37,acute_sal,HAMILTON,0.9628861916730713,False,0.024099999999975807
