neuron_id,lag,time,cc,session_name,bin_width,p,sig
157,0,0.0,0.2923036390562079,ESHOCK_09_LOC1,1.0,0.0,True
161,0,0.0,0.4321193749265223,ESHOCK_09_LOC1,1.0,0.0,True
167,0,0.0,0.1971149362533088,ESHOCK_09_LOC1,1.0,0.0,True
176,0,0.0,0.0359096081948739,ESHOCK_09_LOC1,1.0,0.0,True
179,0,0.0,0.1069898564024425,ESHOCK_09_LOC1,1.0,0.0,True
180,0,0.0,0.0057542999161363,ESHOCK_09_LOC1,1.0,3.313095238095238,False
182,0,0.0,0.1033976496489761,ESHOCK_09_LOC1,1.0,1.3725135623869802,False
184,0,0.0,0.0831175756962356,ESHOCK_09_LOC1,1.0,0.0,True
185,0,0.0,0.1078392330537006,ESHOCK_09_LOC1,1.0,0.7246317512274958,False
1011,0,0.0,0.1913119184788295,hamilton_10,1.0,0.0,True
1015,0,0.0,0.2078316510624107,hamilton_10,1.0,0.0,True
1020,0,0.0,0.0236554978727807,hamilton_10,1.0,0.7808641975308641,False
1022,0,0.0,0.0157068555483593,hamilton_03,1.0,,False
1026,0,0.0,-0.0266394149017678,hamilton_03,1.0,0.1012,False
1027,0,0.0,0.2170724435134946,hamilton_03,1.0,0.0,True
1036,0,0.0,0.1112034346613372,hamilton_04,1.0,0.4906270200387848,False
1038,0,0.0,-0.0256667643609223,hamilton_04,1.0,1.2733255903987613,False
1040,0,0.0,0.0265404454367859,hamilton_04,1.0,0.3573446327683616,False
1046,0,0.0,0.0208312449838971,hamilton_04,1.0,0.26172413793103444,False
1049,0,0.0,0.074551790368646,hamilton_04,1.0,0.0,True
1050,0,0.0,0.1385217308769945,hamilton_04,1.0,0.0,True
1052,0,0.0,0.0291823990589576,hamilton_09,1.0,0.0,True
1054,0,0.0,0.0965561608205586,hamilton_09,1.0,0.0,True
1057,0,0.0,-0.1592192345490626,hamilton_09,1.0,0.0,True
1058,0,0.0,-0.1650576209954636,hamilton_09,1.0,0.0,True
1059,0,0.0,0.0734829850633106,hamilton_09,1.0,0.0,True
1061,0,0.0,-0.0240321106007194,hamilton_09,1.0,0.022792792792792792,True
1062,0,0.0,-0.056468644046871,hamilton_09,1.0,0.21477079796264856,False
1064,0,0.0,0.0939026102305794,hamilton_09,1.0,0.0,True
1065,0,0.0,0.0246846119047033,hamilton_09,1.0,1.2605271616843456,False
1068,0,0.0,-0.0154581804004656,hamilton_09,1.0,0.345982905982906,False
1613,0,0.0,-0.137373875247453,hamilton_31,1.0,0.0,True
1614,0,0.0,0.0492144925619038,hamilton_31,1.0,0.0,True
1617,0,0.0,0.0711179261426486,hamilton_31,1.0,0.0,True
1619,0,0.0,0.1725677577520526,hamilton_31,1.0,0.0,True
1620,0,0.0,-0.0951821985143092,hamilton_31,1.0,0.0,True
