true,session_name,n_units
0.8341816778839506,acute_11,12
0.785045655371244,ESHOCK_04_LOC1,13
0.76974069205138,ESHOCK_06_LOC1,13
0.942598991778473,ESHOCK_07_LOC1,13
0.9880467169060381,ESHOCK_08_LOC1,13
0.9628713371526597,ESHOCK_09_LOC1,13
0.8129223465897232,hamilton_04,13
0.732499477397325,acute_15,13
0.9753398739006665,acute_16,13
0.7165807550049033,acute_14,13
0.9672753654179032,acute_12,13
0.8563253359997999,acute_11,13
0.8049569484837346,ESHOCK_04_LOC1,14
0.7563042889540844,ESHOCK_06_LOC1,14
0.986059809289254,ESHOCK_08_LOC1,14
0.9347440791949797,ESHOCK_09_LOC1,14
0.8092420438847089,hamilton_04,14
0.7293931556151463,acute_15,14
0.9731887119302964,acute_16,14
0.7299609814265224,acute_14,14
0.9510104153947989,acute_12,14
0.8420327101538136,acute_11,14
0.7899183919755183,ESHOCK_04_LOC1,15
0.7254661102506479,ESHOCK_06_LOC1,15
0.9833432934481788,ESHOCK_08_LOC1,15
0.9347925757874129,ESHOCK_09_LOC1,15
0.8176554157806759,hamilton_04,15
0.7384551034103416,acute_15,15
0.9754037624644318,acute_16,15
0.6924604396616385,acute_14,15
0.9267268742707208,acute_12,15
0.84624069559386,acute_11,15
0.8547839800084069,ESHOCK_04_LOC1,16
0.750863537050374,ESHOCK_06_LOC1,16
0.9910066876115808,ESHOCK_08_LOC1,16
0.9553273771012807,ESHOCK_09_LOC1,16
0.8171455000756065,hamilton_04,16
0.7388735793651062,acute_15,16
0.9726162377115779,acute_16,16
0.7191592952812307,acute_14,16
0.9677961628035696,acute_12,16
0.8493109795962965,acute_11,16
0.8530726562989258,ESHOCK_04_LOC1,17
0.7868889666614554,ESHOCK_06_LOC1,17
0.9894031107424203,ESHOCK_08_LOC1,17
0.958010011399151,ESHOCK_09_LOC1,17
0.7505178137119222,acute_15,17
0.7143765309832577,acute_14,17
0.9405782176823194,acute_12,17
0.8404108293076489,acute_11,17
0.8553533099919658,ESHOCK_04_LOC1,18
0.7579867468368594,ESHOCK_06_LOC1,18
0.9869569939795678,ESHOCK_08_LOC1,18
0.9611196309410776,ESHOCK_09_LOC1,18
0.7542494943794027,acute_15,18
0.7356172930531597,acute_14,18
0.9758159445220965,acute_12,18
0.8500134704293464,acute_11,18
0.7983488496950801,ESHOCK_04_LOC1,19
0.7836970101542302,ESHOCK_06_LOC1,19
0.9812808984710764,ESHOCK_08_LOC1,19
0.9441043261872121,ESHOCK_09_LOC1,19
0.7610349074372881,acute_15,19
0.7273497500016604,acute_14,19
0.9645140885870814,acute_12,19
0.8546629411474838,acute_11,19
0.8645840467566146,ESHOCK_04_LOC1,20
0.7868490148064149,ESHOCK_06_LOC1,20
0.9900212493710084,ESHOCK_08_LOC1,20
0.9529700431850003,ESHOCK_09_LOC1,20
0.7641364880130848,acute_15,20
0.979125413994175,acute_12,20
0.8530732243016859,acute_11,20
0.8514170631198418,ESHOCK_04_LOC1,21
0.7772315957203647,ESHOCK_06_LOC1,21
0.9899116914873517,ESHOCK_08_LOC1,21
0.9587178233738884,ESHOCK_09_LOC1,21
0.7623127355006311,acute_15,21
0.963909583652151,acute_12,21
0.844304259450474,acute_11,21
0.8667254545363716,ESHOCK_04_LOC1,22
0.7820831433635196,ESHOCK_06_LOC1,22
0.9863289705640014,ESHOCK_08_LOC1,22
0.9421624923792262,ESHOCK_09_LOC1,22
0.7503244849144457,acute_15,22
0.942501693298377,acute_12,22
0.8626483238144322,acute_11,22
0.8623687434859555,ESHOCK_04_LOC1,23
0.9881627113952755,ESHOCK_08_LOC1,23
0.9581264049676891,ESHOCK_09_LOC1,23
0.7450805651872396,acute_15,23
0.9679612429006689,acute_12,23
0.8487681046643756,acute_11,23
0.9913529834221265,ESHOCK_08_LOC1,24
0.9611302836219344,ESHOCK_09_LOC1,24
0.7594810096871993,acute_15,24
0.9724741571302287,acute_12,24
0.8375004608927215,acute_11,24
0.9892242534274132,ESHOCK_08_LOC1,25
0.9527099285927504,ESHOCK_09_LOC1,25
